Name,Financial Year,Month,All India Total ,All India Public ,All India Private,All India Urban ,All India Rural,A & N IslandsTotal ,A & N Islands Public [A],A & N Islands Private [B],A & N Islands Urban [C],A & N Islands Rural [D],Andhra Pradesh Total [(A+B) or (C+D)],Andhra Pradesh Public [A],Andhra Pradesh Private [B],Andhra Pradesh Urban [C],Andhra Pradesh Rural [D],Arunachal Pradesh Total [(A+B) or (C+D)],Arunachal Pradesh Public [A],Arunachal PradeshPrivate [B],Arunachal Pradesh Urban [C],Arunachal Pradesh Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D],Total [(A+B) or (C+D)],Public [A],Private [B],Urban [C],Rural [D]
Total number of pregnant women registered for ANC,2019-2020,march,2262717,2169378,93339,403605,1859112,300,300,,51,249,66015,66015,0,13083,52932,2444,2227,217,69,2375,52706,50791,1915,2655,50051,222173,221100,1073,24978,197195,2162,2162,,1251,911,51931,50455,1476,8783,43148,642,642,,141,501,559,559,0,183,376,37984,30954,7030,24947,13037,1825,1499,326,215,1610,109931,109533,398,32890,77041,45961,45961,0,10347,35614,8539,8530,9,41,8498,26783,23861,2922,4313,22470,68969,60319,8650,5185,63784,97311,91032,6279,21069,76242,40162,38206,1956,4487,35675,104,104,,,104,,,,,,,,,,,149312,145016,4296,22534,126778,156424,145982,10442,51831,104593,3297,2886,411,197,3100,10952,9567,1385,359,10593,1780,1780,0,577,1203,2798,2149,649,541,2257,57655,56454,1201,4608,53047,5665,4228,1437,3653,2012,37274,37075,199,8406,28868,123158,108658,14500,32168,90990,768,729,39,91,677,86012,86012,,25614,60398,59637,59637,0,21207,38430,5357,5357,0,407,4950,571684,546504,25180,62755,508929,15838,15476,362,2277,13561,138605,137618,987,11692,126913
"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)",2019-2020,march,1697928,1643000,54928,277945,1419983,208,208,,41,167,54318,54318,0,7760,46558,1013,967,46,26,987,47974,46418,1556,2279,45695,159448,158553,895,17967,141481,1612,1612,,1176,436,48096,44733,3363,9478,38618,617,617,,141,476,519,519,0,183,336,18913,15998,2915,13192,5721,947,810,137,126,821,94603,92252,2351,27702,66901,36718,36718,0,7168,29550,7541,7532,9,35,7506,18814,17536,1278,2295,16519,47865,41175,6690,2888,44977,77160,73221,3939,16255,60905,34116,32998,1118,3040,31076,77,77,,,77,,,,,,,,,,,108232,105103,3129,14367,93865,137600,128465,9135,40432,97168,1982,1698,284,145,1837,4281,4082,199,177,4104,1396,1396,0,469,927,855,577,278,238,617,51659,50981,678,3683,47976,1959,1422,537,1205,754,30724,30615,109,6005,24719,90372,82090,8282,19758,70614,635,596,39,50,585,81908,81908,,22909,58999,44223,44223,0,12550,31673,3936,3936,0,255,3681,351849,344386,7463,34860,316989,11510,11246,264,1781,9729,124248,124014,234,7309,116939
Number of PW given TT1,2019-2020,march,1623209,1551027,72182,280326,1342883,208,208,,34,174,61222,61222,0,10305,50917,1588,1506,82,43,1545,44390,41814,2576,2726,41664,122395,121989,406,13374,109021,1496,1496,,1074,422,41959,39033,2926,8547,33412,464,464,,116,348,474,474,0,141,333,13234,11421,1813,9806,3428,793,606,187,103,690,84317,83780,537,24425,59892,31708,30592,1116,7514,24194,5565,5541,24,13,5552,16222,15471,751,1671,14551,50845,45642,5203,2511,48334,72161,63785,8376,20798,51363,27808,16955,10853,3247,24561,64,64,,,64,,,,,,,,,,,108750,106098,2652,16343,92407,109051,99099,9952,33453,75598,2109,1944,165,83,2026,5081,4922,159,229,4852,1133,1106,27,353,780,1404,1178,226,198,1206,51249,50833,416,3680,47569,1237,999,238,823,414,29806,29184,622,6715,23091,74902,66527,8375,18370,56532,599,588,11,60,539,73744,68013,5731,24649,49095,52838,52838,0,17146,35692,3962,3939,23,254,3708,395631,388519,7112,40056,355575,12753,12528,225,1830,10923,122047,120649,1398,9636,112411
Number of PW given TT2,2019-2020,march,1499307,1438442,60865,247616,1251691,235,235,,53,182,61535,60521,1014,10667,50868,1039,982,57,18,1021,42198,39896,2302,2513,39685,107903,107571,332,11823,96080,1552,1552,,1122,430,43075,40226,2849,8883,34192,411,411,,119,292,375,375,0,94,281,9847,8297,1550,7223,2624,662,551,111,100,562,73882,73518,364,19920,53962,29425,28358,1067,6796,22629,6131,6114,17,18,6113,15007,14351,656,1468,13539,48876,44816,4060,2199,46677,66448,60076,6372,17927,48521,26074,15710,10364,2732,23342,59,59,,,59,,,,,,,,,,,103962,101826,2136,14648,89314,99446,91947,7499,29152,70294,1572,1457,115,58,1514,3738,3609,129,153,3585,1222,1168,54,386,836,800,633,167,137,663,56176,55840,336,3878,52298,1321,1002,319,894,427,29399,28755,644,7015,22384,71385,67478,3907,12104,59281,557,551,6,67,490,72631,66812,5819,24031,48600,51354,51354,0,16128,35226,3627,3599,28,263,3364,331011,323624,7387,35246,295765,12333,12170,163,1649,10684,124039,122998,1041,8132,115907
Number of PW given TT Booster,2019-2020,march,485683,465923,19760,82832,402851,59,59,,8,51,5720,5272,448,1685,4035,283,270,13,5,278,3418,3224,194,93,3325,78775,78651,124,9284,69491,281,281,,228,53,10591,10146,445,1872,8719,186,186,,25,161,90,90,0,37,53,2470,1894,576,1933,537,155,132,23,21,134,28811,28626,185,8333,20478,12277,11994,283,2849,9428,2055,2053,2,5,2050,4086,3906,180,410,3676,12027,10106,1921,691,11336,26362,23757,2605,6144,20218,1011,723,288,121,890,12,12,,,12,,,,,,,,,,,34844,33902,942,4718,30126,50817,47433,3384,13916,36901,384,323,61,20,364,2269,2237,32,69,2200,934,929,5,533,401,306,223,83,38,268,5509,5439,70,327,5182,456,85,371,414,42,2296,2293,3,507,1789,40774,35187,5587,8729,32045,71,71,0,3,68,14545,14532,13,2092,12453,6814,6814,0,2049,4765,290,290,0,9,281,122003,120297,1706,14689,107314,2456,2425,31,289,2167,12246,12061,185,686,11560
Number of PW given 180 Iron Folic Acid (IFA) tablets,2019-2020,march,2113233,2054936,58297,438559,1674674,193,193,,42,151,62666,62214,452,11977,50689,1586,1459,127,45,1541,50544,48697,1847,2484,48060,184342,183912,430,20926,163416,2370,2370,,1546,824,52402,50964,1438,8779,43623,463,463,,136,327,613,613,0,194,419,26241,24909,1332,9720,16521,1280,1093,187,143,1137,108307,107447,860,30837,77470,35307,34897,410,6365,28942,7601,7589,12,34,7567,17102,16719,383,1054,16048,55601,52697,2904,2113,53488,108151,100803,7348,28697,79454,48578,36688,11890,5569,43009,96,96,,,96,,,,,,,,,,,143716,140385,3331,22664,121052,156011,144984,11027,46156,109855,1640,1475,165,126,1514,4790,4351,439,222,4568,1119,1114,5,338,781,810,618,192,112,698,52852,52773,79,3410,49442,4875,2571,2304,4328,547,24773,24533,240,6638,18135,118276,113023,5253,23012,95264,553,553,0,88,465,81428,81428,,25358,56070,61169,61169,0,24519,36650,1728,1698,30,81,1647,567875,562517,5358,139715,428160,12707,12627,80,2082,10625,115468,115294,174,9049,106419
Number of PW given 360 Calcium tablets,2019-2020,march,1801119,1751793,49326,373105,1428014,177,177,,42,135,54321,54321,0,10411,43910,1243,1061,182,12,1231,46173,44705,1468,2406,43767,151677,151247,430,18343,133334,2375,2375,,1551,824,40502,37137,3365,8723,31779,495,495,,136,359,620,620,0,201,419,25792,24428,1364,9165,16627,1331,1094,237,143,1188,109330,108473,857,30601,78729,45438,44816,622,8491,36947,7130,7118,12,34,7096,10001,9656,345,605,9396,49356,46479,2877,1783,47573,102155,96154,6001,26292,75863,42961,32290,10671,5204,37757,93,93,,,93,,,,,,,,,,,123709,120581,3128,20653,103056,150670,139807,10863,43236,107434,1054,877,177,117,937,4025,3552,473,177,3848,910,910,0,255,655,678,539,139,160,518,45597,45570,27,3215,42382,930,930,0,395,535,19848,19616,232,6075,13773,79430,76861,2569,14427,65003,544,544,0,77,467,39739,39739,,10433,29306,58783,58783,0,24981,33802,1883,1853,30,123,1760,481694,478794,2900,114095,367599,10967,10887,80,1927,9040,89488,89211,277,8616,80872
Number of PW given one Albendazole tablet after 1st trimester,2019-2020,march,1082161,1063105,19056,167944,914217,178,178,,37,141,29149,29149,0,4386,24763,296,189,107,0,296,30152,29466,686,1418,28734,77581,77581,0,8051,69530,1531,1531,,1346,185,41323,39634,1689,7297,34026,510,510,,135,375,463,463,0,110,353,9671,9557,114,6522,3149,574,524,50,47,527,94313,93908,405,26013,68300,30920,30518,402,5920,25000,6571,6562,9,25,6546,5551,5499,52,114,5437,23182,21665,1517,483,22699,72797,68731,4066,16745,56052,2010,1534,476,321,1689,27,27,,,27,,,,,,,,,,,104936,103516,1420,13808,91128,105952,100233,5719,25908,80044,191,184,7,0,191,2257,2257,0,104,2153,360,360,0,80,280,314,299,15,21,293,43686,43677,9,2505,41181,894,894,0,527,367,12572,12572,0,3581,8991,64035,63228,807,6391,57644,351,351,,2,349,35338,35338,,9323,26015,27866,27866,0,8266,19600,261,261,0,3,258,160472,159075,1397,13841,146631,3665,3665,0,993,2672,92212,92103,109,3621,88591
Number of PW received 4 or more ANC check ups,2019-2020,march,1799180,1743006,56174,271189,1527991,238,238,,48,190,59230,58107,1123,10813,48417,613,604,9,19,594,40072,38251,1821,1828,38244,158820,158095,725,16899,141921,2747,2747,,1581,1166,52493,50140,2353,9026,43467,506,506,,136,370,633,633,0,151,482,22844,21099,1745,8315,14529,1525,1349,176,91,1434,88889,88488,401,24135,64754,31162,31162,0,6565,24597,6728,6658,70,18,6710,19818,18255,1563,2300,17518,52380,46537,5843,3336,49044,90185,83927,6258,20355,69830,40168,37101,3067,3344,36824,94,94,,,94,,,,,,,,,,,119172,115297,3875,18057,101115,151776,142652,9124,41836,109940,1969,1793,176,151,1818,5069,4723,346,249,4820,1009,895,114,432,577,541,358,183,139,402,49677,49361,316,3313,46364,1855,1855,0,457,1398,26648,26576,72,6455,20193,70113,69097,1016,13400,56713,502,487,15,46,456,74647,74647,,20758,53889,42343,42343,0,15286,27057,3663,3663,0,220,3443,469498,454440,15058,34756,434742,11271,11192,79,1975,9296,100282,99636,646,4699,95583
Number of PW given ANC Corticosteroids in Pre Term Labour,2019-2020,march,34381,31553,2828,6385,27996,16,16,,0,16,1389,1389,0,437,952,3,3,0,0,3,851,786,65,3,848,1182,1182,0,71,1111,108,108,,35,73,722,539,183,166,556,72,72,,0,72,10,10,0,0,10,1606,1403,203,274,1332,81,81,0,0,81,2824,2683,141,313,2511,601,601,0,58,543,169,169,0,0,169,165,159,6,7,158,515,424,91,90,425,2382,1752,630,722,1660,470,256,214,55,415,1,1,,,1,,,,,,,,,,,2793,2503,290,575,2218,4167,3457,710,728,3439,7,7,0,0,7,124,74,50,0,124,3,3,0,0,3,3,0,3,3,0,427,387,40,3,424,70,69,1,13,57,341,341,0,91,250,1572,1556,16,557,1015,2,2,,0,2,2143,2143,,488,1655,993,993,0,217,776,7,7,0,0,7,5220,5194,26,524,4696,194,191,3,11,183,3148,2992,156,944,2204
